x,y,z,vx,vy,vz,ax,ay,az
0.000600379,0.000602667,0.000601367,-0.004204,-0.000587971,-0.000840109,-1.55002e-07,1.41148e-09,-2.29331e-06
0.00231073,0.000599802,0.000600062,-0.00444504,0.00259781,-1.51965e-05,-3.37254e-05,-2.35229e-05,-3.34905e-06
0.0036888,0.000600063,0.000607314,-0.011727,-0.000755587,0.00312037,-1.63426e-07,-5.32801e-10,-2.71794e-06
0.00488955,0.000603341,0.000603319,-0.00908358,0.00102801,-0.00244723,-1.65034e-07,-2.46064e-09,-2.72286e-06
0.00608727,0.000716549,0.000601357,-0.00409371,-0.0179276,0.00226064,-6.2189e-05,1.23635e-05,-2.55969e-06
0.00728157,0.000600904,0.000600621,-0.00799658,0.00277302,0.00200175,6.1851e-05,-1.23372e-05,-3.08254e-06
0.0108153,0.000599968,0.000599826,-0.0161969,-0.000625692,0.00070386,1.54333e-05,1.33593e-05,0.000153706
0.0131014,0.000600793,0.000600437,-0.00489251,-0.00274339,0.00531255,-7.76636e-05,-0.000102457,-1.42692e-05
0.0143014,0.000599941,0.000600178,-0.00782272,-0.000341843,-0.00037292,1.89017e-05,1.56964e-05,-2.14668e-06
0.0155014,0.000599892,0.00060007,-0.0117969,0.00271104,-0.00045078,-7.38056e-06,4.39776e-05,2.48796e-06
0.0167013,0.000599826,0.000601357,-0.00898748,0.00152652,-0.00106247,-0.000122713,7.22082e-05,-3.45065e-07
0.0179011,0.000599881,0.000600242,-0.0131638,-0.00162158,0.000445718,2.42783e-05,1.5394e-05,-2.77286e-06
0.0200959,0.000599874,0.000605054,-0.00647171,-0.00366146,-0.000875803,1.30305e-05,9.18263e-05,-1.20367e-06
0.021296,0.000599951,0.000600214,-0.0138984,7.14452e-05,0.00337593,1.27732e-06,6.74366e-06,-2.08718e-06
0.00146643,0.00145234,0.000600357,-0.00180564,0.00192707,6.43338e-05,-8.58579e-06,6.13821e-06,-4.19115e-06
0.00843041,0.000951777,0.000602249,0.00109789,0.00177406,-0.00122705,-1.67219e-07,4.91432e-09,-2.65053e-06
0.00963395,0.000918412,0.000603249,-0.00438146,-0.00796523,-0.00287579,-1.78433e-07,2.05437e-08,-2.57758e-06
0.0119593,0.000969231,0.000600003,-0.00882752,-0.000325648,-0.0037712,-1.81249e-07,5.57879e-09,-2.42798e-06
0.0189984,0.00108497,0.000600638,-0.00514601,-0.000275467,0.0022562,0.000177876,7.11027e-06,-2.63622e-06
0.000599931,0.00228232,0.000600052,-0.000711987,0.00107373,-0.000802836,1.67515e-06,-5.34603e-05,-3.48019e-06
0.00299901,0.00158251,0.000600055,-0.00866355,0.00360519,0.001134,4.15193e-05,-1.03933e-05,-3.21541e-06
0.00419413,0.00168847,0.000600102,-0.0066673,-3.03725e-05,0.00100695,3.69181e-05,-1.09645e-05,5.95149e-06
0.00539396,0.00169711,0.000599883,-0.0070221,-0.0157602,0.000755617,-5.857e-05,-9.40802e-06,8.93227e-05
0.00658423,0.00184791,0.000599856,-0.0102342,-0.00861227,0.00414248,4.65374e-05,2.58696e-05,4.80953e-06
0.00777209,0.00201657,0.000600577,-0.00889131,0.00272203,3.0968e-06,7.75472e-06,2.31704e-05,1.17944e-05
0.00897186,0.002023,0.000600168,-0.00707178,0.00342214,-0.000209776,-3.04546e-05,-0.00016641,-0.000254522
0.0101715,0.00200642,0.000606646,-0.00776289,-0.00128353,0.00299751,5.9395e-05,-1.2116e-05,8.61328e-07
0.0113713,0.00201639,0.000599954,-0.00873244,-0.00432842,0.00194885,-0.000100616,1.01079e-05,-9.19415e-06
0.0125708,0.00203918,0.000599894,-0.0123812,-0.000475945,-0.00169816,-1.921e-05,7.04342e-05,9.44095e-05
0.013702,0.00163947,0.000599968,-0.00709403,-0.00135121,-0.00162956,0.000136963,4.92384e-05,3.38767e-05
0.0149018,0.00163926,0.00060107,-0.00920733,-8.10896e-05,0.0322084,0.000240942,8.80628e-05,-0.000824318
0.0161015,0.00163901,0.000599934,-0.00539199,0.000892003,0.00151605,8.38574e-06,2.90184e-05,4.48879e-05
0.0171988,0.00212421,0.00060108,-0.0142635,0.00384107,-0.00132263,1.6241e-05,-0.000115672,-5.06595e-06
0.0183987,0.00212418,0.000600103,-0.00829782,0.00464778,-0.000312122,-0.000103108,2.19851e-05,-2.21177e-06
0.0195985,0.00212411,0.000600886,-0.00816666,-0.00116629,0.00134802,2.60669e-05,-8.1985e-05,5.98236e-06
0.020696,0.00163911,0.000600069,-0.00766724,-0.00258611,0.00104985,-7.52271e-06,1.66933e-06,-3.80327e-06
0.00233896,0.00258439,0.000600062,-0.00756054,0.00222553,-0.000523917,-1.86979e-05,5.97657e-05,-3.50274e-06
0.00353739,0.00269282,0.000600639,-0.00571813,-0.00440478,-0.000385351,-1.79887e-07,6.90673e-09,-2.6649e-06
0.00478128,0.00273496,0.0006001,-0.00039282,-0.00992969,-0.000344829,-0.000100416,7.51341e-06,-7.21589e-06
0.00597228,0.00288029,0.000600498,-0.00194384,-0.00160393,-0.00331817,0.000105404,3.81306e-06,2.72707e-06
0.00716164,0.00305075,0.00060167,-0.00938293,0.00897941,0.000185669,-1.52719e-07,-7.24882e-09,-2.87441e-06
0.00836261,0.00306125,0.000601699,-0.0106977,0.00615718,-0.00248842,-1.59439e-07,-1.53507e-08,-2.60263e-06
0.00956352,0.00306778,0.000600438,-0.0117182,0.00506951,0.0023978,5.80386e-06,-8.23248e-06,-2.40409e-06
0.0107669,0.0030582,0.000602078,-0.00764716,-0.00295188,-0.00519965,-0.00016452,8.31807e-06,9.82484e-06
0.0119666,0.00307723,0.000600649,-0.0105038,-0.00175566,-7.58496e-05,0.000164185,-8.32435e-06,-1.48751e-05
0.0142993,0.00268031,0.000599965,-0.0150157,0.00204468,-0.00182055,2.16708e-05,-6.21494e-05,9.78866e-06
0.0154992,0.00268,0.00060022,-0.0118388,0.00207357,-0.00201453,3.12564e-05,-1.85766e-06,-4.49561e-06
0.0212953,0.00267881,0.000600957,-0.0097416,-0.000790915,-0.00138657,9.68848e-05,-6.46478e-05,-3.94906e-05
0.000599727,0.00348215,0.00060021,-0.000472814,0.00173802,-0.000832869,-6.82743e-05,1.52982e-05,1.8874e-05
0.00178754,0.00364998,0.000600561,-0.00098813,0.00549841,-0.00162465,-5.7441e-05,3.98739e-05,-2.41926e-05
